Daerah,Laki-laki,Perempuan,
Rokan Hilir,68.65,72.59,
KEPULAUAN MERANTI,66.01,70,
Kepulauan Meranti,66.01,70,
KOTA PEKANBARU,70.76,74.55,
Kota Pekanbaru,70.76,74.55,
KOTA DUMAI,69.18,73.14,
Kota Dumai,69.18,73.14,
JAMBI,69.57,73.49,
KERINCI,68.27,72.26,
Kerinci,68.27,72.26,
MERANGIN,69.63,73.43,
Merangin,69.63,73.43,
SAROLANGUN,67.31,71.71,
Sarolangun,67.31,71.71,
BATANG HARI,68.97,72.87,
Batang Hari,68.97,72.87,
MUARO JAMBI,69.67,73.55,
Muaro Jambi,69.67,73.55,
TANJUNG JABUNG TIMUR,64.72,68.56,
Tanjung Jabung Timur,64.72,68.56,
TANJUNG JABUNG BARAT,66.33,70.46,
Tanjung Jabung Barat,66.33,70.46,
TEBO,68.13,72.25,
Tebo,68.13,72.25,
BUNGO,66.14,70.15,
Bungo,66.14,70.15,
KOTA JAMBI,71.06,74.88,
Kota Jambi,71.06,74.88,
KOTA SUNGAI PENUH,70.59,74.43,
Kota Sungai Penuh,70.59,74.43,
SUMATERA SELATAN,68.38,72.29,
OGAN KOMERING ULU,66.15,70.49,
Ogan Komering Ulu,66.15,70.49,
OGAN KOMERING ILIR,66.62,70.95,
Ogan Komering Ilir,66.62,70.95,
MUARA ENIM,67.64,71.33,
Muara Enim,67.64,71.33,
LAHAT,64.49,68.44,
Lahat,64.49,68.44,
MUSI RAWAS,66.52,70.58,
Musi Rawas,66.52,70.58,
MUSI BANYUASIN,66.79,71.14,
Musi Banyuasin,66.79,71.14,
BANYU ASIN,67.01,71.38,
Banyu Asin,67.01,71.38,
OGAN KOMERING ULU SELATAN,65.32,69.27,
Ogan Komering Ulu Selatan,65.32,69.27,
OGAN KOMERING ULU TIMUR,67.45,71.44,
Ogan Komering Ulu Timur,67.45,71.44,
OGAN ILIR,63.95,67.87,
Ogan Ilir,63.95,67.87,
EMPAT LAWANG,63.45,67.31,
Empat Lawang,63.45,67.31,
PENUKAL ABAB LEMATANG ILIR,66.26,70.59,
Penukal Abab Lematang Ilir,66.26,70.59,
MUSI RAWAS UTARA,64.09,67.96,
Musi Rawas Utara,64.09,67.96,
KOTA PALEMBANG,69.45,73.41,
Kota Palembang,69.45,73.41,
KOTA PRABUMULIH,68.84,72.78,
Kota Prabumulih,68.84,72.78,
